zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated,ls_id,lmi_id,pl_id
382077686,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",109,1466,NULL
41054356,0,0,0,0,1,0,0,0,0,"2024-11-20 23:54:07",110,NULL,11877
442637000,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",111,351,NULL
27784520,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",112,459,12078
442707868,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",113,2606,NULL
442722208,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",114,434,NULL
442707916,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",115,1275,NULL
2053904628,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",116,1416,12341
440777098,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",117,2169,NULL
442719842,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",118,1901,NULL
442720818,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",119,539,NULL
442720886,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",120,1077,NULL
377046828,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",121,1024,11909
442721972,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",122,1864,NULL
2054067898,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",123,63,11558
442721360,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",124,931,NULL
442722011,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",125,2214,NULL
442703227,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",126,1123,NULL
442703742,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",127,NULL,NULL
442725266,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",128,312,NULL
2054363453,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",129,NULL,11846
2053937161,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",130,1203,12288
441495700,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",131,1555,NULL
82535839,0,0,0,0,0,1,0,0,0,"2024-11-20 23:54:07",132,1085,12382
46070788,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",133,2551,12487
439275291,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",134,2355,NULL
346682967,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",135,757,NULL
442724207,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",136,1473,NULL
442693741,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",137,1881,NULL
2053940660,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",138,1321,12302
348874397,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",139,1443,12303
442693744,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",140,1874,NULL
431173644,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",141,1456,NULL
27947306,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",142,1119,12216
442725117,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",143,2116,NULL
442707820,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",144,2581,NULL
88735865,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",145,2048,11998
352272214,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",146,651,12283
11353073,0,0,0,0,0,0,0,0,0,"2024-11-20 23:54:07",147,NULL,11607
442717349,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",148,NULL,NULL
102322555,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",149,2513,NULL
36599296,0,0,0,0,0,1,0,0,0,"2024-11-20 23:54:07",150,NULL,NULL
439979333,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",151,1291,NULL
36509937,0,0,0,0,1,0,0,0,0,"2024-11-20 23:54:07",152,NULL,11710
88565563,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",153,2314,11997
441202835,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",154,1264,NULL
122025847,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",155,744,11569
352370209,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",156,681,13372
36603671,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",157,79,11721
442720811,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",158,1717,NULL
440212158,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",159,1461,NULL
442724823,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",160,2202,NULL
442717903,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",161,642,NULL
348140246,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",162,1329,12333
36446685,0,0,0,0,1,0,0,0,0,"2024-11-20 23:54:07",163,3106,11740
442496436,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",164,474,NULL
20623386,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",165,720,12391
441623344,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",166,1371,NULL
2054359357,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",167,2180,11958
2059550729,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",168,1365,13373
442707867,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",169,1273,NULL
442718402,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",170,1442,NULL
43858769,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",171,271,NULL
442707980,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",172,363,NULL
343990325,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",173,1283,13377
442634529,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",174,1878,NULL
16768930,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",175,1067,12503
2054066881,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",176,2575,12261
382150125,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",177,2091,NULL
431180814,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",178,469,NULL
36533540,0,0,0,0,1,0,0,0,0,"2024-11-20 23:54:07",179,NULL,11737
2058047667,0,1,0,0,0,0,0,1,0,"2024-11-20 23:54:07",180,2663,11528
158678447,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",181,1544,NULL
439638900,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",182,1351,NULL
442595948,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",183,382,NULL
2053945483,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",184,1903,11774
10194460,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",185,4265,11627
442722045,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",186,917,NULL
72657468,0,0,0,0,0,0,0,1,1,"2024-11-20 23:54:07",187,2651,11576
442725756,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",188,1300,NULL
442496437,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",189,1331,NULL
442726100,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",190,2565,NULL
45094862,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",191,2531,12150
442707809,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",192,1221,NULL
442703764,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",193,1199,NULL
442718400,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",194,1580,NULL
442713008,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",195,NULL,NULL
343811167,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",196,1809,11822
442721801,0,1,0,0,0,0,0,1,0,"2024-11-20 23:54:07",197,2804,NULL
440665065,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",198,1706,NULL
442707981,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",199,2591,NULL
