zpid,zpidComp,addressComp,cityComp,stateComp,zipComp,priceComp,homeTypeComp,homeStatusComp,livingAreaValueComp,livingAreaUnitsComp,lotAreaValueComp,lotAreaUnitsComp,lastUpdated,lsi_id,lnh_id
441910544,441912325,"495 Hancock Dr SE",Atlanta,GA,30354,509990,"Single Family","For Sale",2506,"Square Feet",0,Acres,"2024-11-20 22:18:43",5011,130
35920166,35920128,"1725 Ridge Valley Ct NW",Atlanta,GA,30327,970300,"Single Family",Other,3200,"Square Feet",1,Acres,"2024-11-20 22:18:43",8626,131
35872540,35872541,"3379 Martin Luther King Jr Dr SW",Atlanta,GA,30331,366800,"Single Family",Other,1594,"Square Feet",1,Acres,"2024-11-20 22:18:43",3703,132
441910544,441912325,"495 Hancock Dr SE",Atlanta,GA,30354,509990,"Single Family","For Sale",2506,"Square Feet",0,Acres,"2024-11-20 23:54:06",5011,133
35872540,35872541,"3379 Martin Luther King Jr Dr SW",Atlanta,GA,30331,366800,"Single Family",Other,1594,"Square Feet",1,Acres,"2024-11-20 23:54:06",3703,134
441910544,439257215,"490 Hancock Dr SE LOT 1",Atlanta,GA,30354,429990,"Single Family","For Sale",2235,"Square Feet",0,Acres,"2024-11-20 22:18:43",5011,135
35872540,35872539,"3391 Martin Luther King Jr Dr SW",Atlanta,GA,30331,248400,"Single Family",Other,1500,"Square Feet",1,Acres,"2024-11-20 23:54:06",3703,136
442743343,35888478,"20 Marietta St NW APT 3G",Atlanta,GA,30303,225000,Condo,"For Sale",1130,"Square Feet",1128,"Square Feet","2024-11-20 22:18:43",5660,137
441910544,439257215,"490 Hancock Dr SE LOT 1",Atlanta,GA,30354,429990,"Single Family","For Sale",2235,"Square Feet",0,Acres,"2024-11-20 23:54:06",5011,138
35833387,35833404,"758 Jones Ave NW",Atlanta,GA,30314,189600,"Single Family",Other,1595,"Square Feet",3659,"Square Feet","2024-11-20 23:54:06",51115,139
35872540,35872539,"3391 Martin Luther King Jr Dr SW",Atlanta,GA,30331,248400,"Single Family",Other,1500,"Square Feet",1,Acres,"2024-11-20 22:18:43",3703,140
442743343,35888478,"20 Marietta St NW APT 3G",Atlanta,GA,30303,225000,Condo,"For Sale",1130,"Square Feet",1128,"Square Feet","2024-11-20 23:54:06",5660,141
35833387,35833404,"758 Jones Ave NW",Atlanta,GA,30314,189600,"Single Family",Other,1595,"Square Feet",3659,"Square Feet","2024-11-20 22:18:43",51115,142
35872540,69344985,"3397 Martin Luther King Jr Dr SW",Atlanta,GA,30331,310500,"Single Family",Other,2211,"Square Feet",1,Acres,"2024-11-20 22:18:43",3703,143
348934176,350860558,"2034 Bixby Byway Dr SE",Atlanta,GA,30317,458000,Townhouse,Other,1120,"Square Feet",871,"Square Feet","2024-11-20 22:18:43",5148,144
35846147,35846218,"217 Whitaker Cir NW",Atlanta,GA,30314,148400,"Single Family",Other,923,"Square Feet",10380,"Square Feet","2024-11-20 22:18:43",11785,145
348934176,350860558,"2034 Bixby Byway Dr SE",Atlanta,GA,30317,458000,Townhouse,Other,1120,"Square Feet",871,"Square Feet","2024-11-20 23:54:06",5148,146
35836184,35836195,"1078 Arlington Ave SW",Atlanta,GA,30310,300000,"Single Family",Other,2268,"Square Feet",8712,"Square Feet","2024-11-20 23:54:06",11975,147
249112337,35830510,"816 Erin Ave SW",Atlanta,GA,30310,236100,"Single Family",Other,1045,"Square Feet",7601,"Square Feet","2024-11-20 23:54:06",12045,148
35846147,35846219,"223 Whitaker Cir NW",Atlanta,GA,30314,137500,"Single Family",Other,936,"Square Feet",10201,"Square Feet","2024-11-20 22:18:43",11785,149
65440804,69344284,"1438 Rome Dr NW",Atlanta,GA,30314,0,"Single Family","For Sale",1792,"Square Feet",6970,"Square Feet","2024-11-20 22:18:43",11791,150
249112337,35830529,"817 Dill Ave SW",Atlanta,GA,30310,492000,"Single Family",Sold,3052,"Square Feet",10454,"Square Feet","2024-11-20 22:18:43",12045,151
35846147,35846219,"223 Whitaker Cir NW",Atlanta,GA,30314,137500,"Single Family",Other,936,"Square Feet",10201,"Square Feet","2024-11-20 23:54:06",11785,152
65440804,69344284,"1438 Rome Dr NW",Atlanta,GA,30314,0,"Single Family","For Sale",1792,"Square Feet",6970,"Square Feet","2024-11-20 23:54:06",11791,153
249112337,35830529,"817 Dill Ave SW",Atlanta,GA,30310,492000,"Single Family",Sold,3052,"Square Feet",10454,"Square Feet","2024-11-20 23:54:06",12045,154
35846147,35846220,"229 Whitaker Cir NW",Atlanta,GA,30314,176800,Condo,Other,1504,"Square Feet",9962,"Square Feet","2024-11-20 22:18:43",11785,155
65440804,69344286,"1448 Rome Dr NW",Atlanta,GA,30314,330600,"Single Family",Other,1400,"Square Feet",6969,"Square Feet","2024-11-20 23:54:06",11791,156
35914514,35914515,"3135 Rilman Rd NW",Atlanta,GA,30327,922000,"Single Family",Other,2471,"Square Feet",1,Acres,"2024-11-20 23:54:06",8648,157
