zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
11565262,237500,"For Sale","Single Family",2024-11-28,"2213 Pauline Ave",Pittsburgh,PA,15216,"Allegheny County",1955,1464,sqft,1721,2,3,451,35,1.43,NULL,NULL,https://www.zillow.com/homedetails/2213-Pauline-Ave-Pittsburgh-PA-15216/11565262_zpid/,"2024-11-29 05:32:39",843,42845,52675,8594
140624461,140000,"Recently Sold",Manufactured,2024-11-07,"4992 Old Cliffs Rd","San Diego",CA,92120,"San Diego County",1970,1344,sqft,3558,2,2,386,14,1.17,7,2024-11-22,https://www.zillow.com/homedetails/4992-Old-Cliffs-Rd-San-Diego-CA-92120/140624461_zpid/,"2024-11-23 09:30:22",844,22235,50369,2466
48967149,1195000,"Recently Sold","Single Family",2024-11-08,"10022 11th Avenue NW",Seattle,WA,98177,"King County",1952,2480,sqft,4087,2,4,1668,139,0.77,9,2024-11-22,https://www.zillow.com/homedetails/10022-11th-Ave-NW-Seattle-WA-98177/48967149_zpid/,"2024-11-23 09:30:22",845,24422,41667,1968
119346800,435000,"For Sale",Condo,2024-11-28,"301 5th Ave UNIT 506",Pittsburgh,PA,15222,"Allegheny County",2014,1316,sqft,2503,2,2,185,4,1.43,15,NULL,https://www.zillow.com/homedetails/301-5th-Ave-UNIT-506-Pittsburgh-PA-15222/119346800_zpid/,"2024-11-29 05:32:39",846,40062,53498,8249
16873983,760000,"Recently Sold",Townhouse,2024-10-04,"11360 Camino Playa Cancun UNIT 5","San Diego",CA,92124,"San Diego County",1991,1262,sqft,3181,3,2,162,8,1.17,9,2024-11-22,https://www.zillow.com/homedetails/11360-Camino-Playa-Cancun-UNIT-5-San-Diego-CA-92124/16873983_zpid/,"2024-11-23 09:30:22",847,23144,50401,2225
49011886,979950,"Recently Sold","Single Family",2024-10-22,"12545 2nd Avenue NW",Seattle,WA,98177,"King County",1948,2100,sqft,3890,2,4,222,15,0.77,9,2024-11-22,https://www.zillow.com/homedetails/12545-2nd-Ave-NW-Seattle-WA-98177/49011886_zpid/,"2024-11-23 09:30:22",848,29663,41651,2307
11519986,125000,"For Sale","Single Family",2024-11-28,"4913 Dearborn St",Pittsburgh,PA,15224,"Allegheny County",1900,1277,sqft,1361,1,3,240,7,1.43,11,NULL,https://www.zillow.com/homedetails/4913-Dearborn-St-Pittsburgh-PA-15224/11519986_zpid/,"2024-11-29 05:32:39",849,68899,813,8137
16832339,400000,"Recently Sold",Condo,2024-10-29,"10218 Black Mountain Rd APT 60","San Diego",CA,92126,"San Diego County",1978,525,sqft,2044,1,1,1158,65,1.17,9,2024-11-22,https://www.zillow.com/homedetails/10218-Black-Mountain-Rd-APT-60-San-Diego-CA-92126/16832339_zpid/,"2024-11-23 09:30:22",850,34514,50372,1841
49131247,663000,"Recently Sold","Single Family",2024-07-25,"5515 Bangor Street",Seattle,WA,98178,"King County",1951,1990,sqft,3519,3,4,82,0,0.77,9,2024-11-22,https://www.zillow.com/homedetails/5515-S-Bangor-St-Seattle-WA-98178/49131247_zpid/,"2024-11-23 09:30:22",851,32190,41675,2659
11429284,425000,"For Sale","Single Family",2024-11-28,"4746 Doverdell Dr",Pittsburgh,PA,15236,"Allegheny County",1953,2078,sqft,1638,2,3,417,38,1.43,8,NULL,https://www.zillow.com/homedetails/4746-Doverdell-Dr-Pittsburgh-PA-15236/11429284_zpid/,"2024-11-29 05:32:39",852,941,52837,8180
16741472,638000,"Recently Sold",Condo,2024-08-21,"17303 Plaza Maria","San Diego",CA,92128,"San Diego County",1973,1431,sqft,3471,2,3,514,17,1.17,9,2024-11-22,https://www.zillow.com/homedetails/17303-Plaza-Maria-San-Diego-CA-92128/16741472_zpid/,"2024-11-23 09:30:22",853,43610,50375,2741
32323482,560000,"Recently Sold","Single Family",2024-07-11,"40 Seaside Ln","Staten Island",NY,10305,"Richmond County",1991,1432,sqft,2859,2,3,205,3,0.89,9,2024-11-23,https://www.zillow.com/homedetails/40-Seaside-Ln-Staten-Island-NY-10305/32323482_zpid/,"2024-11-24 09:06:08",854,35571,3015,4426
350131188,59900,"For Sale",Manufactured,2024-11-28,"38 Cheryl Ln",Pittsburgh,PA,15236,"Allegheny County",2024,930,sqft,1739,2,2,22,1,1.43,23,NULL,https://www.zillow.com/homedetails/38-Cheryl-Ln-Pittsburgh-PA-15236/350131188_zpid/,"2024-11-29 05:32:39",855,1412,NULL,523
17173363,475000000,"Recently Sold",Condo,2024-11-13,"1372 W San Ysidro Blvd UNIT C","San Diego",CA,92173,"San Diego County",1985,1056,sqft,2527,2,2,29,0,1.17,9,2024-11-22,https://www.zillow.com/homedetails/1372-W-San-Ysidro-Blvd-UNIT-C-San-Diego-CA-92173/17173363_zpid/,"2024-11-23 09:30:22",856,51673,21948,2179
32335500,785000,"Recently Sold","Single Family",2024-08-21,"137 Hett Ave","Staten Island",NY,10306,"Richmond County",2007,1288,sqft,3128,4,4,176,0,0.89,9,2024-11-23,https://www.zillow.com/homedetails/137-Hett-Ave-Staten-Island-NY-10306/32335500_zpid/,"2024-11-24 09:06:08",857,31195,51970,4445
350278726,60900,"For Sale",Manufactured,2024-11-28,"507 Will Ln",Pittsburgh,PA,15236,"Allegheny County",2024,990,sqft,1781,2,2,26,1,1.43,22,NULL,https://www.zillow.com/homedetails/507-Will-Ln-Pittsburgh-PA-15236/350278726_zpid/,"2024-11-29 05:32:39",858,1411,NULL,689
